tailnum,year,type,manufacturer,model,engines,seats,speed,engine
N10156,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N102UW,1998,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N103US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N104UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N10575,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N105UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N107US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N108UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N109UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N110UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11106,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11107,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11109,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11113,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11119,2002,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11121,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11127,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11137,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11140,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11150,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11155,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11164,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11165,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11176,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11181,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11184,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11187,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11189,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11191,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11192,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11193,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11194,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N11199,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N111US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11206,2000,NA,BOEING,737-824,2,149,NA,Turbo-fan
N112US,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N114UW,1999,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N11535,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11536,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11539,2001,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11551,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N11565,2002,NA,EMBRAER,EMB-145LR,2,55,NA,Turbo-fan
N117UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N118US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N119US,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N1200K,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N1201P,1998,NA,BOEING,767-332,2,330,NA,Turbo-fan
N12109,1994,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12114,1995,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12116,1996,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12122,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12125,1998,NA,BOEING,757-224,2,178,NA,Turbo-fan
N12126,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12135,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12136,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12142,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12145,2003,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12157,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12160,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12163,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12166,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12167,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12172,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12175,2004,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12195,2005,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N121UW,2000,NA,AIRBUS INDUSTRIE,A320-214,2,182,NA,Turbo-fan
N12201,2006,NA,EMBRAER,EMB-145XR,2,55,NA,Turbo-fan
N12216,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
N12218,1998,NA,BOEING,737-824,2,149,NA,Turbo-fan
